"","YEAR","Jan","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
"1",1951,22.8449655172414,10.1863448275862,21.6591034482759,19.7824137931034,27.9035862068965,54.301275862069,69.2339655172414,69.5760344827586,43.7119655172414,24.5642413793103,18.0178620689655,21.0792068965517
"2",1952,21.0674827586207,21.2708965517241,38.5271379310345,28.1525862068966,36.534,54.3830344827586,73.4708965517241,73.903275862069,50.7148620689655,15.544,4.03675862068966,18.5471724137931
"3",1953,35.7449310344828,19.8029310344828,29.0355172413793,22.1328965517241,35.4966551724138,59.2087586206897,76.726724137931,73.4431379310345,54.0829655172414,24.9903448275862,12.024724137931,22.4834137931034
"4",1954,36.0587931034483,37.0343103448276,28.0068275862069,19.835,32.4724827586207,60.2791034482759,72.1894482758621,71.6629655172414,58.9623103448276,28.1185172413793,12.5583793103448,22.0139310344828
"5",1955,34.9093448275862,22.2433793103448,26.9391379310345,21.8568275862069,29.8627586206897,58.4634827586207,76.5668275862069,73.5650689655172,59.4081034482759,45.0228965517241,21.4587586206897,24.770275862069
"6",1956,33.5893793103448,16.4345517241379,32.5732068965517,23.1485172413793,41.0701379310345,67.5716551724138,73.6664137931034,71.8206206896552,55.9878965517241,43.6781724137931,21.0228620689655,25.2350344827586
"7",1957,40.9839655172414,22.237,35.4822413793104,21.9337931034483,29.7185517241379,51.689724137931,74.9310689655173,69.8561724137931,50.1866551724138,23.0660689655172,12.5310689655172,26.0788275862069
"8",1958,27.5666551724138,23.0632413793103,27.2060344827586,26.4724482758621,31.7894482758621,50.0713103448276,74.9616896551724,74.4782413793103,59.3538275862069,38.7882413793103,22.483275862069,29.2686551724138
"9",1959,37.1282068965517,28.3848620689655,24.9722413793103,25.1254827586207,34.7199655172414,57.1170689655172,75.1633793103448,73.4468620689655,55.7126896551724,41.1452413793103,18.8835172413793,19.6838275862069
"10",1960,24.5884827586207,9.51589655172414,39.1263793103448,21.9284827586207,31.5211724137931,51.4161034482759,74.9930344827586,74.6614827586207,55.5749310344828,33.6148275862069,14.9865517241379,20.936724137931
"11",1961,34.9443103448276,33.1836896551724,31.3014827586207,22.1153448275862,33.9626896551724,57.2486551724138,73.872724137931,74.4914137931034,58.1278620689655,41.1406551724138,27.3187931034483,28.4606551724138
"12",1962,26.9959655172414,34.3051379310345,30.9735517241379,26.5616551724138,30.9435862068966,55.3254827586207,69.9629655172414,71.1571724137931,57.4325172413793,27.2866551724138,12.7515517241379,23.4590689655172
"13",1963,18.3964482758621,8.13572413793103,27.9713448275862,26.1634137931035,31.8748620689655,53.5091379310345,69.8381034482759,71.1176551724138,50.4827931034483,27.8236206896552,27.4221724137931,19.5812068965517
"14",1964,21.4815862068965,19.562275862069,23.0875862068966,25.9065172413793,31.6864137931035,51.1291034482758,73.802724137931,70.0174482758621,58.2923448275862,24.8740689655172,12.2330689655172,23.4730689655172
"15",1965,24.3374827586207,18.5776551724138,27.3547586206897,30.3347586206897,29.304,47.0886896551724,70.3238620689655,68.231724137931,49.5362413793103,30.1511034482759,16.9233103448276,14.2265172413793
"16",1966,19.814,17.2483793103448,22.1310344827586,18.6235862068966,26.2848965517241,55.9921034482759,68.8195862068966,71.7707586206896,44.1746551724138,18.8598965517241,21.9843103448276,16.6356551724138
"17",1967,18.9935517241379,8.81979310344828,36.6805862068965,24.0953103448276,31.3018965517241,52.3578275862069,73.2625172413793,73.4265517241379,52.7000689655172,21.9775862068966,17.8708965517241,37.817
"18",1968,36.7121379310345,23.9368965517241,28.6279655172414,23.835275862069,29.5114482758621,59.0541379310345,73.8104482758621,69.5760344827586,46.5198620689655,26.3919655172414,13.9516206896552,19.7280689655172
"19",1969,20.2126206896552,18.7153793103448,25.3656551724138,24.0707931034483,37.0025517241379,53.3691034482759,73.191551724138,71.5145517241379,58.2669310344828,26.5733448275862,22.1724137931034,20.1361379310345
"20",1970,29.0383793103448,29.3394827586207,36.0024137931035,21.2003448275862,34.685275862069,60.4228275862069,71.4548275862069,71.5096896551724,57.1989655172414,31.271,12.254724137931,14.26
"21",1971,26.090275862069,17.7021724137931,27.5330689655172,29.0393448275862,39.9217931034483,66.6489310344828,75.5179655172414,74.0032413793103,52.2553793103448,38.433724137931,21.1753103448276,20.3331034482759
"22",1972,21.7278275862069,26.3435862068966,28.3664827586207,23.177,24.0145862068965,46.6522068965517,68.2733448275862,68.8302068965517,49.6858620689655,29.5261379310345,20.6375517241379,24.2160689655172
"23",1973,28.526724137931,22.2834137931034,28.5023103448276,18.703,34.0831034482759,58.5114137931035,72.0588965517241,72.096,57.6981379310345,39.448275862069,15.8730344827586,21.4457586206897
"24",1974,21.3055172413793,18.4795517241379,29.1249655172414,24.7768620689655,32.2773448275862,53.3068965517241,70.5721379310345,69.6064482758621,47.7566896551724,28.6370689655172,12.0911724137931,23.2800344827586
"25",1975,31.2384482758621,26.2645172413793,32.0406896551724,22.3853448275862,30.8568620689655,55.0701379310345,70.92,71.4199655172414,59.2472413793103,37.173275862069,16.8676551724138,16.5904482758621
"26",1976,25.8043793103448,24.6598620689655,31.7080344827586,23.4930689655172,33.4385517241379,55.5062413793103,70.818275862069,71.2591034482759,54.2444137931034,19.4214137931034,20.3863793103448,18.0907931034483
"27",1977,25.7344827586207,16.7356206896552,22.1200344827586,28.5885862068966,38.7948965517241,55.0347931034483,75.227724137931,72.1695517241379,55.5333793103448,29.6618275862069,24.5536206896552,24.4713793103448
"28",1978,28.0253448275862,31.2153793103448,35.743,24.9175172413793,33.3402068965517,60.918,73.542724137931,72.7447931034483,56.0936896551724,29.0506206896552,21.6056206896552,23.4704827586207
"29",1979,31.996275862069,33.1593448275862,31.5115172413793,22.3212068965517,27.0519655172414,48.2599655172414,70.7697586206897,65.6515862068966,39.7967931034483,22.5598620689655,26.1929655172414,27.8595172413793
"30",1980,29.2872068965517,23.7165862068966,33.0535172413793,19.3110344827586,35.0233793103448,63.4665517241379,75.7282068965517,70.5073793103448,52.9786551724138,28.3949655172414,16.9280689655172,22.4168965517241
"31",1981,33.6220344827586,23.5550344827586,33.7284482758621,22.7054137931034,35.169724137931,54.7655517241379,73.5358965517241,70.0095862068966,52.5543793103448,22.8679310344828,20.5575862068966,23.1179310344828
"32",1982,28.6151379310345,27.468,33.4819655172414,25.3933793103448,33.7826206896552,56.0555172413793,70.7772413793103,71.6932413793103,46.7534827586207,30.1858275862069,19.8036206896552,24.2431034482759
"33",1983,27.8100344827586,25.5202413793103,31.2649655172414,26.6505862068966,35.1316896551724,56.3909310344828,69.8915862068965,67.6273793103448,54.9956206896552,32.5219655172414,15.9660689655172,21.0700344827586
"34",1984,26.8447931034483,24.1358275862069,24.9473103448276,25.6928275862069,33.3613793103448,58.4237241379311,73.5937586206897,68.3662413793104,52.821724137931,29.1028620689655,16.0839655172414,23.1191034482759
"35",1985,29.7038965517241,15.8628965517241,27.8125862068966,23.2738620689655,33.0067931034483,56.8205862068965,71.9749655172414,71.8898275862069,54.3426896551724,30.5797931034483,18.6368965517241,23.0123103448276
"36",1986,26.317724137931,21.1351724137931,28.7255172413793,25.6655517241379,31.5704827586207,53.1656206896552,72.4329310344827,69.7092068965517,50.652275862069,30.2874482758621,21.3548620689655,22.5983103448276
"37",1987,24.5087586206897,21.8902068965517,30.351,26.6499655172414,33.09,53.4986896551724,73.5160689655172,71.9567586206896,52.1261034482759,29.7941034482759,16.9314827586207,24.370724137931
"38",1988,28.1916896551724,22.6161379310345,31.866275862069,25.1795862068966,33.9708965517241,58.1111379310345,75.8782068965517,73.3625172413793,53.7325172413793,28.4434137931034,18.0422413793104,24.0244137931034
"39",1989,29.294724137931,29.0766206896552,31.5144827586207,23.2161379310345,34.0875862068966,58.7398275862069,70.8014137931034,71.6579655172414,54.115,31.7071724137931,23.154724137931,25.9776896551724
"40",1990,26.3087931034483,28.682724137931,32.9044482758621,27.571,37.5926896551724,58.5253793103448,74.7158620689655,72.616,58.7231724137931,33.793275862069,18.599,25.6922413793103
"41",1991,26.7181724137931,23.0775172413793,29.8600689655172,24.3853448275862,32.8714482758621,55.7873103448276,72.3006551724138,70.9986206896552,52.9617931034483,29.2620344827586,19.012275862069,22.5727586206897
"42",1992,26.7298620689655,23.0775172413793,29.8600689655172,24.3853448275862,32.8716206896552,55.7873103448276,72.3004827586207,70.9986206896552,52.9617931034483,29.2616206896552,19.012275862069,22.5727586206897
"43",1993,26.7298620689655,23.0775172413793,29.8600689655172,24.3853448275862,32.8716206896552,55.7873103448276,72.3004827586207,70.9986206896552,52.9617931034483,29.2620344827586,19.012275862069,22.5727586206897
"44",1994,26.7298620689655,23.0775172413793,29.8600689655172,24.3853448275862,32.8716206896552,55.7873103448276,72.3004827586207,70.9986206896552,52.9617931034483,29.2620344827586,19.012275862069,22.5727586206897
"45",1995,26.7298620689655,23.0775172413793,29.8600689655172,24.3853448275862,32.8716206896552,55.7873103448276,72.3004827586207,70.9986206896552,52.9617931034483,31.1903448275862,20.9836551724138,25.8083793103448
"46",1996,17.7813793103448,20.4942068965517,52.138724137931,15.9715172413793,32.5984482758621,51.9383103448276,68.2658275862069,71.6173448275862,47.5066896551724,32.4336206896552,9.28041379310345,21.5098620689655
"47",1997,23.5488275862069,18.121275862069,30.5106896551724,23.7080344827586,31.6734482758621,39.6445862068966,65.7984137931034,60.3520689655172,54.8599655172414,28.8388965517241,17.8654137931034,39.5691724137931
"48",1998,26.3487931034483,21.2444482758621,23.5795517241379,44.4461034482759,32.4435862068966,47.2070689655172,69.4530344827586,75.5142413793104,54.5594827586207,31.0910344827586,19.1950344827586,26.7746551724138
"49",1999,24.281724137931,23.2384482758621,24.9036206896552,13.5246896551724,37.2284137931034,48.555,72.1588965517241,68.8899655172414,63.5621724137931,43.879,36.8162413793103,21.2016206896552
"50",2000,22.3529310344828,24.1409310344828,21.5709655172414,18.1517586206897,31.3709310344828,55.2565517241379,69.8696551724138,65.8751034482759,49.7225517241379,25.3474137931034,18.3174137931034,15.6421379310345
"51",2001,24.1188620689655,19.9218965517241,30.3500344827586,21.0702413793103,34.3629310344827,56.1104482758621,76.749275862069,63.2757586206897,41.6486206896552,41.6364482758621,15.0577586206897,26.4436551724138
"52",2002,25.5093103448276,24.3321724137931,23.743275862069,24.1947586206896,35.1151724137931,48.3559655172414,62.7561724137931,74.5201034482758,53.3431379310345,28.8046896551724,13.9079655172414,31.2297931034483
